company_name,world_rank_2022,world_rank_2021,world_rank_2020,mcap_2022,mcap_2021,mcap_2020,annual_revenue,annual_net_income,total_assets,total_liabilities,total_equity,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,country,matched_to,norm_eps_2022,norm_eps_2021,norm_eps_2020,cashflow_investing_2022,cashflow_investing_2021,cashflow_investing_2020,norm_eps_2019,cashflow_investing_2019,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
LONGFOR GROUP HOLDINGS,677,775.0,539.0,31188000000.0,35475000000.0,28912000000.0,35092000000.0,3747000000.0,137560000000.0,117940000000.0,19629000000.0,"['Real Estate', 'Construction', 'Property Investments', 'Infrastructure', 'Investments', 'Commercial Properties', 'Financial Services', 'Construction']",80.0,71.0,60.0,26316.0,us.json,Longfor Group Holdings Ltd,3.89,4.05,3.48,-7736400000.000001,-6822200000.000001,-5796000000.000001,2.9699999999999998,-4933600000.0,,,,,,
BAIDU,354,346.0,255.0,53368000000.0,73754000000.0,53029000000.0,19558000000.0,1607000000.0,59703000000.0,26483000000.0,33220000000.0,"['Communication Services', 'Internet or Mobile App Based Business', 'Software and IT', 'Software Products', 'Artificial Intelligence', 'Advertising', 'Media', 'Technology', 'Social Media']",40.0,29.0,29.0,41000.0,us.json,Baidu Inc,2.87,3.48,8.59,-551600000.0,-4401600000.0,-3857000000.0000005,,,True,[],"['baidu', 'baidu-ai-cloud', 'baidu-ai-accelerator', 'baidu-ventures']","['Baidu', 'Baidu AI Cloud', 'Baidu AI Accelerator', 'Baidu Ventures']",24.0,3.0
GREAT WALL MOTOR COMPANY,350,224.0,1482.0,53655000000.0,46204000000.0,10336000000.0,19850000000.0,979000000.0,25526000000.0,16485000000.0,9041000000.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Trucks', 'Cars', 'Commercial Vehicles', 'Freight Transport', 'Passenger Vehicles']",39.0,51.0,180.0,63174.0,us.json,Great Wall Motor Co Ltd ADR,9.42,7.61,6.32,-1470000000.0000002,-1563800000.0000002,-1622600000.0000002,,,,,,,,
CHONGQING ZHIFEI BIOLOGICAL PRODUCTS,729,469.0,1346.0,28640000000.0,36225000000.0,11334000000.0,4461000000.0,1485000000.0,4372000000.0,1803000000.0,2569000000.0,"['Healthcare', 'HealthCare Products', 'Biotechnology']",90.0,70.0,164.0,2972.0,us.json,Chongqing Zhifei Biological Products Co Ltd Class A,5.0,6.52,2.14,-210000000.00000003,-282800000.0,-126000000.00000001,,,,,,,,
LUZHOU LAOJIAO,346,507.0,908.0,54324000000.0,50707000000.0,17508000000.0,3004000000.0,1158000000.0,6288000000.0,2194000000.0,4095000000.0,"['Consumer Defensive', 'Beverages', 'Alcoholic Beverages']",38.0,46.0,115.0,3228.0,us.json,Luzhou Laojiao Co Ltd Class A,6.68,5.39,4.1,-467600000.00000006,-375200000.00000006,-303800000.0,3.16,-637000000.0000001,,,,,,
RONGSHENG PETROCHEMICAL,713,764.0,1398.0,29417000000.0,28529000000.0,10877000000.0,25761000000.0,1866000000.0,49067000000.0,35207000000.0,13860000000.0,"['Basic Materials', 'Chemicals', 'Petrochemicals', 'Software and IT', 'Technology', 'Software Products']",88.0,94.0,168.0,13962.0,us.json,,,,,,,,,,,,,,,
PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA),715,701.0,334.0,29374000000.0,38469000000.0,43847000000.0,93588000000.0,3374000000.0,216300000000.0,181860000000.0,34445000000.0,"['Financial Services', 'Insurance']",89.0,68.0,39.0,198951.0,us.json,,,,,,,,,,False,[],['people-s-insurance-company-of-china-picc'],['People’s Insurance Company of China (PICC)'],0.0,1.0
CHINA RAILWAY GROUP,937,1064.0,776.0,22295000000.0,18380000000.0,20762000000.0,168600000000.0,4338000000.0,213890000000.0,170670000000.0,43219000000.0,"['Industries', 'Railway Operating Company', 'Infrastructure', 'Construction', 'Real Estate', 'Engineering Services', 'Railway', 'Transportation', 'Construction']",121.0,148.0,95.0,290000.0,us.json,China Railway Group Ltd Class H,1.53,1.42,1.09,-11814600000.000002,-10844400000.000002,-8839600000.0,,,,,,,,
COUNTRY GARDEN HOLDINGS COMPANY,991,858.0,419.0,21011000000.0,30467000000.0,36577000000.0,76117000000.0,3900000000.0,283530000000.0,239780000000.0,43748000000.0,"['Real Estate', 'Construction', 'Property Investments', 'Hotels', 'Construction', 'Investments']",130.0,84.0,49.0,101784.0,us.json,Country Garden Holdings Co Ltd,0.66,1.27,1.58,-1083600000.0,-2525600000.0000005,-828800000.0000001,1.76,-2672600000.0000005,,,,,,
BEIKE,1040,1040.0,1040.0,,,,11871000000.0,77000000.0,,,,"['Financial Services', 'Real Estate']",140.0,159.0,132.0,1320.0,us.json,Xinjiang Beiken Energy Engineering Co Ltd A,-0.36,0.09,0.22,-6181000.000000001,-10782800.000000002,-21715400.000000004,0.43,-39012400.0,,,,,,
WENS FOODSTUFF GROUP,1034,1617.0,603.0,20036000000.0,17785000000.0,26117000000.0,9454000000.0,1951000000.0,14085000000.0,9028000000.0,5057000000.0,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'Meat / Poultry / Fish / Chicken', 'Farming / Seeds / Milling']",139.0,152.0,71.0,50024.0,us.json,Wens Foodstuff Group Co Ltd Class A,-0.42,-2.07,1.12,-995400000.0000001,-1435000000.0000002,-2196600000.0,2.19,-1513400000.0000002,,,,,,
DJI,1040,1040.0,1040.0,,,,,,,,,"['Robotics', 'Drones', 'Technology Hardware and Instruments', 'Electronics', 'Cameras & Accessories']",142.0,160.0,133.0,,us.json,Global X Dow 30 Covered Call ETF,,,,,,,,,,,,,,
UNIGROUP GUOXIN MICROELECTRONICS,1033,1063.0,2941.0,20062000000.0,12428000000.0,4440000000.0,777000000.0,284000000.0,1687000000.0,626000000.0,1061000000.0,"['Technology', 'Electronics', 'Semiconductors']",138.0,219.0,429.0,2192.0,us.json,Unigroup Guoxin Microelectronics Co Ltd Class A,3.15,2.29,0.99,-116643800.00000001,-54756800.00000001,-33271000.000000004,,,,,,,,
BEIJING KINGSOFT OFFICE SOFTWARE,1168,1263.0,1510.0,17474000000.0,29002000000.0,10101000000.0,515000000.0,164000000.0,1638000000.0,425000000.0,1213000000.0,"['Technology', 'Software and IT']",170.0,90.0,185.0,2267.0,us.json,Beijing Kingsoft Office Software Inc Class A,2.5300000000000002,2.2800000000000002,1.67,630261800.0000001,-190947400.00000003,-156284800.0,,,,,,,,
CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS,1164,1645.0,708.0,17531000000.0,16149000000.0,22542000000.0,23377000000.0,1509000000.0,124600000000.0,84322000000.0,40274000000.0,"['Real Estate', 'Infrastructure']",168.0,173.0,87.0,48465.0,us.json,China Merchants Shekou Industrial Zone Holdings Co Ltd Class A,0.77,1.48,1.71,-1401400000.0000002,-3399200000.0000005,-674800000.0000001,,,,,,,,
HUANENG LANCANG RIVER HYDROPOWER,1167,1317.0,1419.0,17488000000.0,12288000000.0,10735000000.0,2940000000.0,849000000.0,23379000000.0,13741000000.0,9637000000.0,"['Utilities', 'Hydro-Electric Power', 'Power Generation', 'Electricity Generation', 'Renewable Energy', 'Electric Utilities']",169.0,223.0,172.0,3403.0,us.json,Huaneng Lancang River Hydropower Inc Class A,0.37,0.32,0.29,-1149400000.0000002,-754600000.0000001,-592200000.0000001,0.30000000000000004,-512400000.00000006,,,,,,
CHINA SOUTHERN AIRLINES COMPANY,1219,1514.0,1311.0,16651000000.0,12631000000.0,11739000000.0,14791000000.0,1762000000.0,47034000000.0,34737000000.0,12298000000.0,"['Industries', 'Airlines', 'Aviation', 'Transportation']",180.0,217.0,160.0,100431.0,us.json,China Southern Airlines Co Ltd Class H,-1.38,-0.7000000000000001,-0.76,-879200000.0000001,-2214800000.0,-1127000000.0000002,0.27,-2020200000.0000002,,,,,,
TSINGTAO BREWERY COMPANY,1212,1384.0,1584.0,16774000000.0,17584000000.0,9606000000.0,4739000000.0,496000000.0,7315000000.0,3701000000.0,3613000000.0,"['Consumer Defensive', 'Beverages', 'Beer', 'Alcoholic Beverages']",179.0,155.0,195.0,38169.0,us.json,Tsingtao Brewery Co Ltd ADR,13.25,10.19,8.34,-308000000.0,-1435000000.0000002,-208600000.00000003,,,,,,,,
CHINA RAILWAY CONSTRUCTION CORPORATION,1208,1340.0,743.0,16820000000.0,15011000000.0,21758000000.0,148000000.0,3593000000.0,196890000000.0,146460000000.0,50422000000.0,"['Industries', 'Infrastructure', 'Railway Operating Company', 'Rail Transport', 'Construction', 'Railway', 'Construction']",178.0,183.0,89.0,,us.json,China Railway Construction Corp Ltd Class H,2.55,2.32,1.74,-7791000000.000001,-8549800000.000001,-7042000000.000001,,,,,,,,
MAXSCEND MICROELECTRONICS COMPANY,1205,1101.0,2436.0,16841000000.000002,15720000000.0,5735000000.0,674000000.0,311000000.0,1229000000.0,118000000.0,1111000000.0,"['Technology', 'Electronics', 'Semiconductors']",177.0,175.0,331.0,217.0,us.json,Maxscend Microelectronics Co Ltd Class A,3.34,4.09,2.12,-295934800.00000006,-469800800.00000006,18232200.0,1.15,-81460400.00000001,,,,,,
ZHEJIANG CHINT ELECTRICS,1202,1174.0,1832.0,16882000000.000002,12887000000.0,8117000000.000001,5656000000.0,495000000.0,12435000000.0,7419000000.0,5016000000.0,"['Industries', 'Electrical Products']",176.0,215.0,242.0,25140.0,us.json,Zhejiang Chint Electrics Co Ltd Class A,1.98,1.8,1.8,-519400000.00000006,-1241800000.0,-1038800000.0000001,1.8399999999999999,-683200000.0000001,,,,,,
