company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
CHINA MERCHANTS BANK,"China Merchants Bank Co., Ltd.",62,59,68,5,11,11,90867,1987,2006,CNY,267.98,287.601,327.223,342.258,3.62,3.79,4.61,5.26,7417.24,8361.448,9249.021,10138.912,92.867,97.342,119.922,138.012,6799.533,7631.094,8383.34,9184.674,617.707,730.354,865.681,954.238,-70.571,-240.753,-19.697,-513.926,1355.413,1213.408,1476.04,1362.181
AGRICULTURAL BANK OF CHINA,Agricultural Bank of China Limited,81,81,45,8,10,7,459000,1979,2010,CNY,627.223,657.443,719.506,724.868,0.59,0.59,0.65,0.69,24878.288,27205.047,29069.155,33927.533,212.098,215.925,241.183,259.14,22918.526,24994.301,26647.796,31253.082,1959.762,2210.746,2421.359,2674.451,-230.805,-469.26,-331.237,-1051.99,3381.93,3967.294,4213.367,4871.565
CONTEMPORARY AMPEREX TECHNOLOGY,"Contemporary Amperex Technology Co., Limited",64,75,466,6,17,53,33078,2011,2018,CNY,45.788,50.319,130.356,328.594,1.163167,1.385667,3.82,7.176556,101.352,156.618,307.667,600.952,4.56,5.583,15.931,30.729,59.164,87.424,215.045,424.043,42.188,69.195,92.622,176.909,1.856,-15.052,-53.781,-64.14,44.624,84.658,122.487,242.758
CHINA MOBILE,China Mobile Limited,112,117,47,14,18,8,454332,1997,1997,CNY,745.917,768.07,848.258,937.259,5.19,5.27,5.66,5.88,1629.24,1727.882,1841.327,1900.238,106.641,107.843,116.148,125.459,521.951,575.11,631.035,634.115,1107.289,1152.772,1210.292,1266.123,-64.206,-188.106,-238.296,-238.053,1103.773,1148.916,1206.35,1262.048
CHINA CONSTRUCTION BANK CORPORATION,China Construction Bank Corporation,69,67,36,7,8,5,349671,1954,2005,CNY,705.38,754.963,822.643,821.279,01.05,01.06,1.19,,25436.261,28132.254,30253.979,34601.917,266.733,271.05,302.513,323.861,23201.134,25742.901,27639.857,31723.157,2235.127,2389.353,2614.122,2878.76,-292.548,-642.158,-518.548,-651.668,3814.385,3654.643,4210.883,4855.331
MEITUAN DIANPING,Meituan,83,57,148,9,6,17,58390,2010,2018,CNY,97.529,114.795,179.128,219.955,0.39,0.81,-3.9,-1.09,132.013,166.575,240.653,244.481,2.239,4.708,-23.538,-6.686,39.959,68.941,115.097,115.775,92.054,97.634,125.557,128.706,-10.174,-21.232,-58.492,-14.714,92.579,112.617,168.216,163.918
ICBC,Industrial and Commercial Bank of China Limited,36,42,19,4,4,3,434798,1984,2006,CNY,852.644,881.361,939.893,913.562,0.86,0.86,0.95,0.97,30109.436,33345.058,35171.383,39609.657,312.224,315.906,348.338,360.483,27417.433,30435.543,31896.125,36095.831,2692.003,2909.515,3275.258,3513.826,-875.967,-1135.097,-674.556,-910.621,3909.314,4160.245,4538.47,4921.787
WANTAI BIOLOGICAL PHARMACY,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",1085,1089,,152,,,4016,1991,2020,CNY,1.184,2.354,5.75,11.185,0.26601,0.793103,2.3,5.31,2.165,3.504,7.046,16.23,0.209,0.677,2.021,4.736,0.584,0.923,2.483,3.665,1.581,2.58,4.562,12.565,-0.198,-0.295,-1.014,-3.514,1.58,2.554,4.471,12.444
RONGSHENG PETROCHEMICAL,"Rongsheng Petrochemical Co., Ltd.",713,764,1398,88,94,168,13962,1995,2010,CNY,82.5,107.265,177.024,289.095,0.2333,0.75,1.31,0.33,182.587,241.515,337.177,362.587,2.207,7.309,12.824,3.34,141.019,171.655,241.934,265.422,41.568,69.86,95.243,97.166,-35.167,-56.284,-56.841,-28.966,81.958,102.436,160.0,180.258
ALIBABA GROUP HOLDING,Alibaba Group Holding Limited,26,15,7,3,2,1,251462,1999,2014,CNY,,509.711,717.289,853.062,33.4,56.8,55.6,22.96,1300,1312.985,1690.218,1695.553,87.6,149.433,150.578,62.249,527.6,433.334,606.584,613.36,402.87,879.651,1083.634,1082.193,-132.13,-108.072,-244.194,-198.592,,875.677,1073.186,1080.982
