company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,matched_to,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,currency,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
CHINA MERCHANTS BANK,62.0,59.0,68.0,"['Financial Services', 'Banking Services', 'Asset Management', 'Credit Cards']",5.0,11.0,11.0,90867.0,1987.0,,"China Merchants Bank Co., Ltd.",6799.533,7631.094,8383.34,9184.674,92.867,97.342,119.922,138.012,3.62,3.79,4.61,5.26,267.98,287.601,327.223,342.258,1355.413,1213.408,1476.04,1362.181,-70.571,-240.753,-19.697,-513.926,7417.24,8361.448,9249.021,10138.912,617.707,730.354,865.681,954.238,CNY,True,,"['china-merchants-fund-co-ltd', 'china-merchants-securities-co-ltd', 'china-merchants-securities', 'china-merchants-venture']","['China Merchants Fund Co., Ltd.', 'China Merchants Securities Co., Ltd.', 'China Merchants Securities', 'China Merchants Venture']",0.0,3.0
AGRICULTURAL BANK OF CHINA,81.0,81.0,45.0,"['Financial Services', 'Banking Services']",8.0,10.0,7.0,459000.0,1979.0,,Agricultural Bank of China Limited,22918.526,24994.301,26647.796,31253.082,212.098,215.925,241.183,259.14,0.59,0.59,0.65,0.6900000000000001,627.223,657.443,719.506,724.868,3381.93,3967.294,4213.367,4871.565,-230.805,-469.26,-331.237,-1051.99,24878.288,27205.047,29069.155,33927.533,1959.762,2210.746,2421.359,2674.451,CNY,False,,['agricultural-bank-of-china'],['Agricultural Bank of China'],2.0,1.0
CONTEMPORARY AMPEREX TECHNOLOGY,64.0,75.0,466.0,"['Industries', 'Batteries', 'Automobile Parts', 'Electronics', 'Technology']",6.0,17.0,53.0,33078.0,2011.0,,"Contemporary Amperex Technology Co., Limited",59.164,87.424,215.045,424.043,4.56,5.583,15.931,30.729,1.163167,1.385667,3.82,7.176556,45.788,50.319,130.356,328.594,44.624,84.658,122.487,242.758,1.856,-15.052,-53.781,-64.14,101.352,156.618,307.667,600.952,42.188,69.195,92.622,176.909,CNY,,,,,,
CHINA MOBILE,112.0,117.0,47.0,"['Communication Services', 'Telecom', 'Internet Providers', 'Mobile Services', 'Fixed Line Service']",14.0,18.0,8.0,454332.0,1997.0,,China Mobile Limited,521.951,575.11,631.035,634.115,106.641,107.843,116.148,125.459,5.19,5.27,5.66,5.88,745.917,768.07,848.258,937.259,1103.773,1148.916,1206.35,1262.048,-64.206,-188.106,-238.296,-238.053,1629.24,1727.882,1841.327,1900.238,1107.289,1152.772,1210.292,1266.123,CNY,False,,['china-mobile'],['China Mobile'],7.0,2.0
CHINA CONSTRUCTION BANK CORPORATION,69.0,67.0,36.0,"['Financial Services', 'Banking Services']",7.0,8.0,5.0,349671.0,1954.0,,China Construction Bank Corporation,23201.134,25742.901,27639.857,31723.157,266.733,271.05,302.513,323.861,1.05,1.06,1.19,,705.38,754.963,822.643,821.279,3814.385,3654.643,4210.883,4855.331,-292.548,-642.158,-518.548,-651.668,25436.261,28132.254,30253.979,34601.917,2235.127,2389.353,2614.122,2878.76,CNY,True,['Banking'],['china-construction-bank'],['China Construction Bank'],22.0,3.0
MEITUAN DIANPING,83.0,57.0,148.0,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Software and IT', 'Retail', 'eCommerce']",9.0,6.0,17.0,58390.0,2010.0,,Meituan,39.959,68.941,115.097,115.775,2.239,4.708,-23.538,-6.686,0.39,0.81,-3.9,-1.09,97.529,114.795,179.128,219.955,92.579,112.617,168.216,163.918,-10.174,-21.232,-58.492,-14.714,132.013,166.575,240.653,244.481,92.054,97.634,125.557,128.706,CNY,,,,,,
ICBC,36.0,42.0,19.0,"['Financial Services', 'Banking Services', 'Investment Banking']",4.0,4.0,3.0,434798.0,1984.0,,Industrial and Commercial Bank of China Limited,27417.433,30435.543,31896.125,36095.831,312.224,315.906,348.338,360.483,0.86,0.86,0.95,0.97,852.644,881.361,939.893,913.562,3909.314,4160.245,4538.47,4921.787,-875.967,-1135.097,-674.556,-910.621,30109.436,33345.058,35171.383,39609.657,2692.003,2909.515,3275.258,3513.826,CNY,True,['Banking'],['industrial-and-commercial-bank-of-china-icbc'],['Industrial and Commercial Bank of China (ICBC)'],14.0,1.0
WANTAI BIOLOGICAL PHARMACY,1085.0,1089.0,,"['Healthcare', 'Biotechnology']",152.0,,,,1991.0,,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",0.584,0.923,2.483,3.665,0.209,0.677,2.021,4.736,0.26601,0.793103,2.3,5.31,1.184,2.354,5.75,11.185,1.58,2.554,4.471,12.444,-0.198,-0.295,-1.014,-3.514,2.165,3.504,7.046,16.23,1.581,2.58,4.562,12.565,CNY,,,,,,
RONGSHENG PETROCHEMICAL,713.0,764.0,1398.0,"['Basic Materials', 'Chemicals', 'Petrochemicals', 'Software and IT', 'Technology']",88.0,94.0,168.0,13962.0,1995.0,,"Rongsheng Petrochemical Co., Ltd.",141.019,171.655,241.934,265.422,2.207,7.309,12.824,3.34,0.2333329999999999,0.75,1.31,0.33,82.5,107.265,177.024,289.095,81.958,102.436,160.0,180.258,-35.167,-56.284,-56.841,-28.966,182.587,241.515,337.177,362.587,41.568,69.86,95.243,97.166,CNY,,,,,,
ALIBABA GROUP HOLDING,26.0,15.0,7.0,"['eCommerce', 'Internet or Mobile App Based Business', 'Technology', 'Software and IT', 'Business Services']",3.0,2.0,1.0,251462.0,1999.0,2014.0,Alibaba Group Holding Limited,,433.334,606.584,613.36,,149.433,150.578,62.249,,56.8,55.6,22.96,,509.711,717.289,853.062,,875.677,1073.186,1080.982,,-108.072,-244.194,-198.592,,1312.985,1690.218,1695.553,,879.651,1083.634,1082.193,CNY,True,"['Artificial Intelligence', 'Cloud Computing', 'Marketplace', 'Blockchain-as-a-Service']","['alibaba-cloud', 'alibaba-group', 'alibaba-blockchain-cloud']","['Alibaba Cloud', 'Alibaba Group', 'Alibaba Blockchain Cloud']",94.0,2.0
BEIJING KINGSOFT OFFICE SOFTWARE,1168.0,1263.0,1510.0,"['Technology', 'Software and IT']",170.0,90.0,185.0,2267.0,2011.0,,"Beijing Kingsoft Office Software, Inc.",0.775,1.621,2.645,3.259,0.401,0.878,1.041,1.118,1.09,1.9049,2.26,2.42,1.58,2.261,3.28,3.885,6.069,6.855,7.72,8.724,-4.474,-1.116,-1.364,4.502,6.844,8.512,10.426,12.058,6.069,6.891,7.78,8.798,CNY,,,,,,
"XINJIANG DAQO NEW ENERGY CO.,LTD.",1146.0,926.0,,"['Industries', 'Industry Machinery', 'Oil and Gas Equipment']",165.0,,,,2011.0,,"Xinjiang Daqo New Energy Co.,Ltd.",5.775,4.334,6.004,6.723,0.247,1.043,5.724,19.121,0.18,0.6900000000000001,3.25,,2.426,4.664,10.832,30.94,4.384,5.469,16.466,45.542,-0.775,-0.442,-3.586,-6.943,9.108,9.002,22.472,52.265,3.333,4.668,16.469,45.542,CNY,,,,,,
