company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees_x,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,num_employees_y,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
CHINA MERCHANTS BANK,62,59,68,"['Financial Services', 'Banking Services', 'Asset Management', 'Credit Cards']",5,11,11,90867,1987,,"China Merchants Bank Co., Ltd.",617707000000.0,730354000000.0,865681000000.0,954238000000.0,1355413000000.0,1213408000000.0,1476040000000.0,1362181000000.0,6799533000000.0,7631094000000.0,8383340000000.0,9184674000000.0,267980000000.0,287601000000.0,327223000000.0,342258000000.0,-70571000000.0,-240753000000.0,-19697000000.0,-513926000000.0,3.62,3.79,4.61,5.26,7417240000000.0,8361448000000.0,9249021000000.0,10138912000000.0,92867000000.0,97342000000.0,119922000000.0,138012000000.0,CNY,112999,True,,"['china-merchants-fund-co-ltd', 'china-merchants-securities-co-ltd', 'china-merchants-securities', 'china-merchants-venture']","['China Merchants Fund Co., Ltd.', 'China Merchants Securities Co., Ltd.', 'China Merchants Securities', 'China Merchants Venture']",0,3
AGRICULTURAL BANK OF CHINA,81,81,45,"['Financial Services', 'Banking Services']",8,10,7,459000,1979,,Agricultural Bank of China Limited,1959762000000.0,2210746000000.0,2421359000000.0,2674451000000.0,3381930000000.0,3967294000000.0,4213367000000.0,4871565000000.0,22918526000000.0,24994301000000.0,26647796000000.0,31253082000000.0,627223000000.0,657443000000.0,719506000000.0,724868000000.0,-230805000000.0,-469260000000.0,-331237000000.0,-1051990000000.0,0.59,0.59,0.65,0.6900000000000001,24878288000000.0,27205047000000.0,29069155000000.0,33927533000000.0,212098000000.0,215925000000.0,241183000000.0,259140000000.0,CNY,452258,False,,['agricultural-bank-of-china'],['Agricultural Bank of China'],2,1
CONTEMPORARY AMPEREX TECHNOLOGY,64,75,466,"['Industries', 'Batteries', 'Automobile Parts', 'Electronics', 'Technology']",6,17,53,33078,2011,,"Contemporary Amperex Technology Co., Limited",42187875157.72,69194716416.89,92622174500.0,176909162000.0,44623886271.44,84657718571.65,122487402100.0,242758498600.0,59164101553.6,87423710523.7,215044686400.0,424043189900.0,45788020642.41,50319487697.2,130355796400.0,328593987500.0,1856315251.85,-15052456166.55,-53781059400.0,-64139841300.0,1.163167,1.385667,3.8200000000000003,7.176556,101351976711.32,156618426940.59,307666860900.0,600952351900.0,4560307432.71,5583338710.38,15931317900.0,30729163500.0,CNY,118914,,,,,,
CHINA MOBILE,112,117,47,"['Communication Services', 'Telecom', 'Internet Providers', 'Mobile Services', 'Fixed Line Service']",14,18,8,454332,1997,,China Mobile Limited,1107289000000.0,1152772000000.0,1210292000000.0,1266123000000.0,1103773000000.0,1148916000000.0,1206350000000.0,1262048000000.0,521951000000.0,575110000000.0,631035000000.0,634115000000.0,745917000000.0,768070000000.0,848258000000.0,937259000000.0,-64206000000.0,-188106000000.0,-238296000000.0,-238053000000.0,5.19,5.27,5.66,5.88,1629240000000.0,1727882000000.0,1841327000000.0,1900238000000.0,106641000000.0,107843000000.0,116148000000.0,125459000000.0,CNY,450698,False,,['china-mobile'],['China Mobile'],7,2
CHINA CONSTRUCTION BANK CORPORATION,69,67,36,"['Financial Services', 'Banking Services']",7,8,5,349671,1954,,China Construction Bank Corporation,2235127000000.0,2389353000000.0,2614122000000.0,2878760000000.0,3814385000000.0,3654643000000.0,4210883000000.0,4855331000000.0,23201134000000.0,25742901000000.0,27639857000000.0,31723157000000.0,705380000000.0,754963000000.0,822643000000.0,821279000000.0,-292548000000.0,-642158000000.0,-518548000000.0,-651668000000.0,1.05,1.06,1.19,,25436261000000.0,28132254000000.0,30253979000000.0,34601917000000.0,266733000000.0,271050000000.0,302513000000.0,323861000000.0,CNY,376682,True,['Banking'],['china-construction-bank'],['China Construction Bank'],22,3
MEITUAN DIANPING,83,57,148,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Software and IT', 'Retail', 'eCommerce']",9,6,17,58390,2010,,Meituan,92054394000.0,97634275000.0,125556762000.0,128705717000.0,92579121000.0,112616838000.0,168216487000.0,163917949000.0,39958521000.0,68940527000.0,115096507000.0,115775475000.0,97528531000.0,114794510000.0,179127997000.0,219954948000.0,-10174018000.0,-21232004000.0,-58491834000.0,-14713569000.0,0.39,0.81,-3.9,-1.09,132012915000.0,166574802000.0,240653269000.0,244481192000.0,2238769000.0,4708313000.0,-23538379000.0,-6686110000.0,CNY,,,,,,,
ICBC,36,42,19,"['Financial Services', 'Banking Services', 'Investment Banking']",4,4,3,434798,1984,,Industrial and Commercial Bank of China Limited,2692003000000.0,2909515000000.0,3275258000000.0,3513826000000.0,3909314000000.0,4160245000000.0,4538470000000.0,4921787000000.0,27417433000000.0,30435543000000.0,31896125000000.0,36095831000000.0,852644000000.0,881361000000.0,939893000000.0,913562000000.0,-875967000000.0,-1135097000000.0,-674556000000.0,-910621000000.0,0.86,0.86,0.9500000000000001,0.97,30109436000000.0,33345058000000.0,35171383000000.0,39609657000000.0,312224000000.0,315906000000.0,348338000000.0,360483000000.0,CNY,427587,True,['Banking'],['industrial-and-commercial-bank-of-china-icbc'],['Industrial and Commercial Bank of China (ICBC)'],14,1
WANTAI BIOLOGICAL PHARMACY,1085,1089,,"['Healthcare', 'Biotechnology']",152,,,,1991,,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",1580729432.56,2580392712.87,4562490919.69,12564891856.98,1579819597.99,2553665040.75,4471187176.41,12443745072.74,584190083.63,923286109.55,2483457184.65,3664624714.14,1183754229.77,2354256829.93,5750329074.69,11185188715.34,-198368641.84,-295398188.64,-1014103285.07,-3513901790.44,0.26601,0.793103,2.3,5.31,2164919516.19,3503678822.42,7045948104.34,16229516571.12,208864316.07,676997342.76,2021467667.66,4735795243.51,CNY,4016,,,,,,
RONGSHENG PETROCHEMICAL,713,764,1398,"['Basic Materials', 'Chemicals', 'Petrochemicals', 'Software and IT', 'Technology']",88,94,168,13962,1995,,"Rongsheng Petrochemical Co., Ltd.",41567672347.95,69860005463.65,95243466594.08,97165782779.3,81957883963.12,102436304144.16,160000135781.33,180257596992.63,141019043430.69,171654922645.33,241933779602.58,265421633908.38,82499880682.37,107264993119.44,177024277492.78,289094841612.76,-35166559397.0,-56283914010.47,-56840756149.41,-28966307577.32,0.23333299999999998,0.75,1.31,0.33,182586715778.64,241514928108.98,337177246196.66,362587416687.68,2206876648.96,7308588924.22,12823546813.07,3340162428.95,CNY,19434,,,,,,
ALIBABA GROUP HOLDING,26,15,7,"['eCommerce', 'Internet or Mobile App Based Business', 'Technology', 'Software and IT', 'Business Services']",3,2,1,251462,1999,2014,Alibaba Group Holding Limited,,879651000000.0,1083634000000.0,1082193000000.0,,875677000000.0,1073186000000.0,1080982000000.0,,433334000000.0,606584000000.0,613360000000.0,,509711000000.0,717289000000.0,853062000000.0,,-108072000000.0,-244194000000.0,-198592000000.0,,56.8,55.6,22.96,,1312985000000.0,1690218000000.0,1695553000000.0,,149433000000.0,150578000000.0,62249000000.0,CNY,239740,True,"['Artificial Intelligence', 'Cloud Computing', 'Marketplace', 'Blockchain-as-a-Service']","['alibaba-cloud', 'alibaba-group', 'alibaba-blockchain-cloud']","['Alibaba Cloud', 'Alibaba Group', 'Alibaba Blockchain Cloud']",94,2
BEIJING KINGSOFT OFFICE SOFTWARE,1168,1263,1510,"['Technology', 'Software and IT']",170,90,185,2267,2011,,"Beijing Kingsoft Office Software, Inc.",6068580258.44,6890823277.89,7780209312.9,8798390968.06,6068580258.44,6854905919.92,7719515499.63,8724302169.55,775413228.15,1620762893.45,2645460097.95,3259285626.6,1579520610.25,2260968393.13,3280058758.03,3884959481.38,-4473625161.71,-1116317396.47,-1363905764.05,4501873068.49,1.09,1.9049,2.26,2.42,6843993486.59,8511586171.34,10425669410.85,12057676594.66,400579204.93,878141265.18,1041253876.4,1117529482.04,CNY,4278,,,,,,
"XINJIANG DAQO NEW ENERGY CO.,LTD.",1146,926,,"['Industries', 'Industry Machinery', 'Oil and Gas Equipment']",165,,,,2011,,"Xinjiang Daqo New Energy Co.,Ltd.",3333080569.63,4667802307.65,16468596712.67,45541572704.4,4384476992.59,5468866219.23,16465716494.27,45541572704.4,5775231516.6,4333935779.26,6003815158.17,6723313529.29,2426085064.63,4664256098.09,10831866667.19,30940306443.79,-775456862.4,-441908709.55,-3586332051.17,-6943219493.61,0.18,0.6900000000000001,3.25,,9108312086.23,9001738086.91,22472411870.84,52264886233.69,247058837.71,1043432568.33,5723842382.35,19120871257.32,CNY,4091,,,,,,
POWER CONSTRUCTION CORPORATION OF CHINA LTD,999,1450,1618,"['Industries', 'Utilities', 'Real Estate', 'Electric Utilities', 'Electricity Generation']",132,287,200,132583,2009,,"Power Construction Corporation of China, Ltd",193471061128.26,223909338352.56,240132000541.17,240343992257.69,353231879523.76,374731296598.53,409936066015.5,451118640559.98,619756561201.17,662634103318.85,723845368862.42,799734116792.95,348477744974.56,401955481174.69,448980306081.65,572612947196.02,-72243629161.67,-58129264252.99,-46426735924.6,-45666277970.17,0.4567,0.4632,0.5792,,813227622329.43,886543441671.41,963977369403.59,1040078109050.64,7239365377.14,7987168430.79,8632095909.43,11435443832.44,CNY,,,,,,,
BANK OF JIANGSU,1408,1457,1308,"['Financial Services', 'Banking Services']",214,221,158,15298,2007,,"Bank of Jiangsu Co., Ltd.",136435921000.0,182079273000.0,198055748000.0,215431339000.0,534029561000.0,642509183000.0,696555164000.0,788998172000.0,1928622466000.0,2155813641000.0,2420818512000.0,2764863353000.0,44871880000.0,51770953000.0,63642381000.0,70501156000.0,48783653000.0,-33877247000.0,-49492235000.0,-48086546000.0,1.18,1.21,1.21,,2065058387000.0,2337892914000.0,2618874260000.0,2980294692000.0,14618609000.0,15065745000.0,19694365000.0,25385993000.0,CNY,17590,,,,,,
ZHEJIANG JINGSHENG MECHANICAL & ELECTRICAL,1626,1422,4010,"['Technology', 'Semiconductors']",245,447,685,,2006,,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",4716403450.65,5251338621.46,7116460551.17,11212823100.95,4587133290.64,5250831209.64,6836669234.48,10774408254.15,3146134323.99,5246827753.78,9767291721.19,17673834675.06,3109742819.15,3810679670.46,5961359500.88,10638310339.72,-535563796.14,-283143073.42,-885825851.79,-1958041269.2,0.5,0.67,1.33,2.26,7862537774.64,10498166375.24,16883752272.36,28886657776.01,637395087.11,858159934.64,1711717145.99,2923646426.73,CNY,7688,,,,,,
