company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
NETFLIX,44.0,37.0,65.0,30.0,23.0,39.0,1997.0,2002.0,"Netflix, Inc.",7.582157,11.06524,15.849248,20.777401,22.341417,26.874335,30.54232,35.130477,26.393555,28.215119,28.735415,27.817367,20.156447,24.996056,29.697844,31.61555,-0.387064,-0.505354,-1.339853,-2.076392,4.26,6.26,11.55,,33.975712,39.280359,44.584663,48.594768,1.866916,2.761395,5.116228,4.491924,USD,,12800.0,,FALSE,Communication&Entertainment
ABBOTT LABORATORIES,43.0,48.0,57.0,29.0,32.0,35.0,1888.0,,Abbott Laboratories,31.301,33.003,36.024,36.905,47.749,51.311,53.098,51.208,36.586,39.545,39.172,37.533,31.904,34.608,43.075,43.653,-1.815,-2.215,-2.008,-1.74,2.091911,2.537784,4.008317,,67.887,72.548,75.196,74.438,3.687,4.495,7.071,6.933,USD,,115000.0,,FALSE,Healthcare
PEPSICO,42.0,51.0,43.0,28.0,28.0,28.0,1898.0,,"PepsiCo, Inc.",14.868,13.552,16.151,17.273,43.934,53.824,52.069,52.806,63.679,79.366,76.226,74.914,67.161,70.372,79.474,86.392,-6.437,-11.619,-3.269,-2.43,5.258088,5.14,5.508315,6.45,78.547,92.918,92.377,92.187,7.314,7.12,7.618,8.91,USD,8.0,315000.0,"['NFT&Gaming', 'Smart_contracts']",TRUE,Food&Restaurants
CHEVRON CORPORATION,41.0,66.0,33.0,27.0,42.0,23.0,1879.0,,Chevron Corporation,144.213,131.688,139.067,160.242,144.213,131.688,139.067,159.282,93.215,108.102,100.468,257.709,139.865,94.471,155.606,235.717,-11.5,-7.0,-5.9,-12.1,1.55,-2.96,8.15,,237.428,239.79,239.535,257.709,2.924,-5.543,15.625,35.465,USD,4.0,43846.0,"['Smart_contracts', 'Logistics&Supply_chain']",TRUE,Resources&Materials
ADOBE,40.0,29.0,52.0,26.0,21.0,32.0,1982.0,1986.0,Adobe Inc.,10.530155,13.264,14.797,14.051,11.519079,17.381,18.92,17.68,10.232245,11.02,12.444,13.114,11.171297,12.868,15.785,17.606,-0.455085,-0.414,-3.519,-0.57,6.07,10.94,10.1,10.13,20.7624,24.284,27.241,27.165,2.951458,5.26,4.822,4.756,USD,10.0,29239.0,['Data_managment&Security'],TRUE,IT&Software
ELI LILLY AND COMPANY,39.0,40.0,82.0,25.0,43.0,48.0,1876.0,,Eli Lilly and Company,2.6991,5.8252,9.1548,10.7754,16.4248,22.2282,24.3256,25.3873,36.587,40.8079,39.6512,38.7144,22.3195,24.5398,28.3184,28.5414,-8.0829,-2.2589,-2.7623,-3.2616,8.93,6.82,6.15,6.93,39.2861,46.6331,48.806,49.4898,8.3184,6.1937,5.5817,6.2448,USD,,39000.0,,FALSE,Healthcare
NIKE,38.0,34.0,54.0,24.0,25.0,33.0,1964.0,,"NIKE, Inc.",9.04,8.055,12.767,15.281,12.504,17.461,22.18,24.201,14.677,23.287,24.973,25.04,39.117,37.403,44.538,46.71,-0.264,-1.028,-3.8,-1.524,2.55,1.63,3.64,3.83,23.717,31.342,37.74,40.321,4.029,2.539,5.727,6.046,USD,46.0,79100.0,,FALSE,Retail&ECommerce
BROADCOM,34.0,56.0,85.0,23.0,37.0,49.0,1991.0,2009.0,Broadcom Inc.,24.97,23.901,24.989,22.709,54.981,64.136,64.429,61.784,42.523,52.032,50.581,50.54,22.597,23.888,27.45,33.203,-15.422,-11.109,-0.245,-0.667,6.77,6.6034500000000005,15.66075,27.371401,67.493,75.933,75.57,73.249,2.724,2.96,6.736,11.495,USD,,20000.0,,FALSE,IT&Software
EXELON CORPORATION,334.0,413.0,327.0,160.0,188.0,164.0,2000.0,,Exelon Corporation,34.573,34.868,34.795,24.744,63.943,68.068,65.532,60.406,90.404,94.449,98.218,70.605,34.438,33.039,17.938,19.078,-7.26,-4.336,-3.317,-6.99,3.02,2.01,1.74,2.2,124.977,129.317,133.013,95.349,2.936,1.963,1.706,2.17,USD,0.0,19063.0,,FALSE,Resources&Materials
JOHNSON CONTROLS INTERNATIONAL,329.0,358.0,488.0,159.0,239.0,211.0,1885.0,,Johnson Controls International plc,20.829,18.533,18.753,17.402,26.474,24.973,25.068,23.694,21.458,22.282,23.137,24.756,23.968,22.317,23.668,25.299,12.078,0.051,-1.09,-0.693,6.52,0.84,2.28,2.2,42.287,40.815,41.89,42.158,5.674,0.631,1.637,1.532,USD,,102000.0,,FALSE,Technology&Electronics
VERTEX PHARMACEUTICALS,323.0,371.0,227.0,158.0,130.0,119.0,1989.0,1991.0,Vertex Pharmaceuticals Incorporated,6.085244,8.686815,10.1,13.9127,6.085244,8.686815,10.1,13.9127,2.233221,3.064993,3.3325,4.2382,4.162821,6.205683,7.5744,8.9307,-1.235318,0.099388,-0.3409,-0.3211,4.58,10.44,9.09,12.97,8.318465,11.751808,13.4325,18.1509,1.17681,2.711647,2.3421,3.322,USD,,4800.0,,FALSE,Healthcare
METLIFE,322.0,361.0,285.0,157.0,180.0,148.0,1868.0,2000.0,"MetLife, Inc.",66.382,74.817,67.749,27.287,82.76,92.314,84.571,44.845,674.081,720.329,691.959,639.324,69.62,67.842,71.08,69.898,-17.586,-18.569,-11.187,-2.62,6.25015,5.72,7.36,2.93,740.463,795.146,759.708,666.611,5.899,5.407,6.554,2.539,USD,1.0,45000.0,['Data_managment&Security'],TRUE,Finance&Investments
