company_name,status,Industry,use_cases_1,use_cases_2
NETFLIX,FALSE,Communication&Entertainment,,
ABBOTT LABORATORIES,FALSE,Healthcare,,
PEPSICO,TRUE,Food&Restaurants,NFT&Gaming,Smart_contracts
CHEVRON CORPORATION,TRUE,Resources&Materials,Smart_contracts,Logistics&Supply_chain
ADOBE,TRUE,IT&Software,Data_managment&Security,
ELI LILLY AND COMPANY,FALSE,Healthcare,,
NIKE,FALSE,Retail&ECommerce,,
BROADCOM,FALSE,IT&Software,,
EXELON CORPORATION,FALSE,Resources&Materials,,
JOHNSON CONTROLS INTERNATIONAL,FALSE,Technology&Electronics,,
VERTEX PHARMACEUTICALS,FALSE,Healthcare,,
METLIFE,TRUE,Finance&Investments,Data_managment&Security,
EMERSON ELECTRIC COMPANY,FALSE,Technology&Electronics,,
EOG RESOURCES,FALSE,Resources&Materials,,
AUTODESK,FALSE,IT&Software,,
ILLUMINA,FALSE,Healthcare,,
CROWDSTRIKE HOLDINGS,FALSE,IT&Software,,
DOW Inc,FALSE,Resources&Materials,,
ALIGN TECHNOLOGY,FALSE,Healthcare,,
PRUDENTIAL FINANCIAL,TRUE,Finance&Investments,Payments,
GENERAL MILLS,FALSE,Food&Restaurants,,
L3HARRIS TECHNOLOGIES,FALSE,Technology&Electronics,,
GLOBAL PAYMENTS,TRUE,IT&Software,Payments,
MARATHON PETROLEUM CORPORATION,FALSE,Resources&Materials,,
PPG INDUSTRIES,FALSE,Resources&Materials,,
THE HERSHEY COMPANY,FALSE,Food&Restaurants,,
THE TRAVELERS COMPANIES,FALSE,Finance&Investments,,
TWILIO,TRUE,IT&Software,Data_managment&Security,
REALTY INCOME CORPORATION,FALSE,Estate,,
KKR & CO,TRUE,Finance&Investments,Finance&Tokens,
AFLAC,FALSE,Finance&Investments,,
CINTAS CORPORATION,FALSE,Services&Travel,,
APOLLO GLOBAL MANAGEMENT,TRUE,Finance&Investments,Finance&Tokens,
SYSCO CORPORATION,FALSE,Food&Restaurants,,
AUTOZONE,FALSE,Transport&Aerospace,,
PARKER-HANNIFIN CORPORATION,FALSE,Machinery&Manufacture,,
HP INC,FALSE,IT&Software,,
EBAY,TRUE,Retail&ECommerce,Smart_contracts,NFT&Gaming
HILTON WORLDWIDE HOLDINGS,FALSE,Services&Travel,,
REPUBLIC SERVICES,FALSE,Services&Travel,,
SVB FINANCIAL GROUP,FALSE,Finance&Investments,,
MOTOROLA SOLUTIONS,FALSE,IT&Software,,
DELL TECHNOLOGIES,FALSE,IT&Software,,
BAXTER INTERNATIONAL,FALSE,Healthcare,,
AGILENT TECHNOLOGIES,FALSE,Healthcare,,
SEMPRA ENERGY,FALSE,Resources&Materials,,
CENTENE CORPORATION,FALSE,Healthcare,,
DATADOG,FALSE,IT&Software,,
CARRIER GLOBAL,FALSE,Technology&Electronics,,
LINKEDIN,TRUE,Communication&Entertainment,Research&Consulting,
TRAFIGURA,TRUE,Finance&Investments,Logistics&Supply_chain,
CHIPOTLE MEXICAN GRILL,FALSE,Food&Restaurants,,
AMERICAN ELECTRIC POWER COMPANY,FALSE,Resources&Materials,,
MICROCHIP TECHNOLOGY,FALSE,Technology&Electronics,,
DEXCOM,FALSE,Healthcare,,
MSCI,FALSE,Finance&Investments,,
KRAFT HEINZ COMPANY,ЛОЖЬ,Food&Restaurants,,
SPACEX,FALSE,Transport&Aerospace,,
DIGITAL REALTY TRUST,TRUE,Estate,Cybersecurity,
O'REILLY AUTOMOTIVE,FALSE,Transport&Aerospace,,
COGNIZANT TECHNOLOGY SOLUTIONS,TRUE,IT&Software,Research&Consulting,
STRIPE,FALSE,IT&Software,,
PAYCHEX,FALSE,IT&Software,,
CONSTELLATION BRANDS,FALSE,Food&Restaurants,,
WALGREENS BOOTS ALLIANCE,FALSE,Healthcare,,
IDEXX LABORATORIES,FALSE,Healthcare,,
HUMANA,TRUE,Healthcare,Data_managment&Security,
NEWMONT CORPORATION,FALSE,Resources&Materials,,
XILINX,FALSE,Technology&Electronics,,
KIMBERLY-CLARK CORPORATION,FALSE,Retail&ECommerce,,
PIONEER NATURAL RESOURCES COMPANY,FALSE,Resources&Materials,,
DUPONT DE NEMOURS,FALSE,Resources&Materials,,
ROBLOX CORP,TRUE,Communication&Entertainment,NFT&Gaming,
